,Ingredients,Amount,Measure,Item
342,"1 tablespoon ground black pepper, plus more for finishing the dish",1 tbsp.,tablespoon,ground black pepper
343,3/4 pound tonnarelli or other long pasta like linguine or spaghetti,0.75 lb,pound,tonnarelli or other long pasta like linguine or spaghetti
344,Good olive oil,,, Good olive oil
345,"1 large Gala apple, quartered",1 ,unit,large Gala apple
346,"1 medium yellow onion, quartered and peeled",1 ,unit,medium yellow onion
347,1 (8-ounce/226-gram) piloncillo cone,,,8.0 ) piloncillo cone
348,"3 cinnamon sticks, preferably Ceylon",,, 3 cinnamon sticks
349,4 whole cloves,,, 4 whole cloves
350,Pinch of salt,,, Pinch of salt
351,3 medium bananas,3 ,unit,medium bananas
352,1 tablespoon vegan butter,1 tbsp.,tablespoon,vegan butter
353,"1 large baguette or 3 to 4 large bolillos or birotes (about 14 ounces total), cut into 1-inch cubes and dried until stale or lightly toasted (see Tip)",1 ,unit,large baguette or 3 to 4 large bolillos or birotes ( about 14 ounces total )
354,1/2 cup/3 ounces raisins,0.5 oz,ounce,raisins
355,"1/2 cup/2 ounces almond slices or peanuts, plus more for serving",0.5 oz,ounce,almond slices or peanuts
356,1 packed cup/4 ounces shredded Monterey Jack-style vegan cheese,1 oz,ounce,shredded Monterey Jack style vegan cheese
357,Kosher salt and black pepper,,, Kosher salt and black pepper
358,6 tablespoons extra-virgin olive oil,6 tbsp.,tablespoon,extra virgin olive oil
359,"1 (15-ounce) can chickpeas, rinsed and patted dry",15 oz,ounce,can chickpeas
360,2 tablespoons unsalted butter,2 tbsp.,tablespoon,unsalted butter
361,"3 garlic cloves, thinly sliced",,, 3 garlic cloves
362,"1 pound brussels sprouts, trimmed and very thinly sliced (about 5 tightly packed cups)",1 lb,pound,brussels sprouts
363,8 ounces dried tagliatelle pasta,8 oz,ounce,dried tagliatelle pasta
364,"1/2 cup freshly grated Parmesan (about 1 1/2 ounces), plus more for serving",0.5 cup,cup,freshly grated Parmesan ( about 1 1/2 ounces )
365,2 tablespoons drained capers,2 tbsp.,tablespoon,drained capers
366,2 tablespoons lemon juice,2 tbsp.,tablespoon,lemon juice
367,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
368,1/4 cup chopped fresh chives,0.25 cup,cup,chopped fresh chives
369,1/4 cup olive oil,0.25 cup,cup,olive oil
370,"6 large shallots, very thinly sliced",6 ,unit,large shallots
371,"5 garlic cloves, 4 thinly sliced, 1 finely chopped",,, 5 garlic cloves
372,Kosher salt and freshly ground black pepper,,, Kosher salt and freshly ground black pepper
373,"1 teaspoon red-pepper flakes, plus more to taste",1 tsp.,teaspoon,red pepper flakes
374,"1 (2-ounce) can anchovy fillets (about 12), drained",2 oz,ounce,can anchovy fillets ( about 12 )
375,1 (4.5-ounce) tube or (6-ounce) can of tomato paste (about 1/2 to 3/4 cup),4.5 oz,ounce,tube or ( 6 ounce ) can of tomato paste ( about 1/2 to 3/4 cup )
376,10 ounces pasta,10 oz,ounce,pasta
377,"1 cup parsley, leaves and tender stems, finely chopped",1 cup,cup,parsley
378,Flaky sea salt,,, Flaky sea salt
379,2 tablespoons unsalted butter,2 tbsp.,tablespoon,unsalted butter
380,2 tablespoons extra-virgin olive oil,2 tbsp.,tablespoon,extra virgin olive oil
381,"2 pounds zucchini, coarsely grated (about 3 large zucchini)",2 lb,pound,zucchini
382,"8 garlic cloves, peeled and smashed",,, 8 garlic cloves
383,"1/2 cup basil leaves, stems reserved, plus more for serving",0.5 cup,cup,basil leaves
384,Kosher salt and black pepper,,, Kosher salt and black pepper
385,1 pound ridged or curly pasta (like medium shells or casarecce),1 lb,pound,ridged or curly pasta ( like medium shells or casarecce )
386,"1/2 cup finely grated Parmesan or pecorino (about 1/2 ounce), plus more for serving",0.5 cup,cup,finely grated Parmesan or pecorino ( about 1/2 ounce )
387,1 tablespoon lemon juice,1 tbsp.,tablespoon,lemon juice
388,"Coarse salt, such as kosher salt or Maldon sea salt",,, Coarse salt
389,"1 or 2 boneless beef steaks, 1 inch thick (about 2 pounds total), such as strip, rib-eye, flat iron, chuck-eye, hanger or skirt (preferably “outside” skirt)",1 ,unit,or 2 boneless beef steaks
390,Black pepper (optional),,, Black pepper (optional)
391,"1 small-ish head cauliflower (about 2 pounds), green leaves removed",1 ,unit,small ish head cauliflower ( about 2 pounds )
392,"Olive oil, for drizzling",,, Olive oil
393,"1 small leek, white and light green part only, very thinly sliced",1 ,unit,small leek
394,Kosher salt and black pepper,,, Kosher salt and black pepper
395,¾ cup heavy cream,,, ¾ cup heavy cream
396,"6 ounces sharp white Cheddar, grated (about 1 1/2 cups)",6 oz,ounce,sharp white Cheddar
397,1/2 cup all-purpose flour,0.5 cup,cup,all purpose flour
398,"4 large eggs, lightly beaten",4 ,unit,large eggs
399,3 cups panko or plain unseasoned bread crumbs,3 cup,cup,panko or plain unseasoned bread crumbs
400,"Kosher salt, as needed",,, Kosher salt
401,"Black pepper, as needed",,, Black pepper
402,"1 medium head cauliflower, trimmed and cut into 2-inch florets",1 ,unit,medium head cauliflower
403,"1/2 cup olive oil, for frying (more as needed)",0.5 cup,cup,olive oil
404,5 cups Simple Tomato Sauce (see recipe),5 cup,cup,Simple Tomato Sauce ( see recipe )
405,"1 cup finely grated Parmesan, preferably Parmigiano-Reggiano",1 cup,cup,finely grated Parmesan
406,"1/2 pound fresh mozzarella, torn into bite-size pieces",0.5 lb,pound,fresh mozzarella
407,2 cups whole milk,2 cup,cup,whole milk
408,1/2 cup heavy cream or half-and-half (or use more milk),0.5 cup,cup,heavy cream or half and half ( or use more milk )
409,4 large eggs plus 2 large egg yolks,4 ,unit,large eggs plus 2 large egg yolks
410,2 teaspoons vanilla extract,2 tsp.,teaspoon,vanilla extract
411,1/2 teaspoon finely grated lemon zest (optional),0.5 tsp.,teaspoon,finely grated lemon zest ( optional )
412,3/4 teaspoon ground cardamom,0.75 tsp.,teaspoon,ground cardamom
413,Pinch of salt,,, Pinch of salt
414,"1 loaf challah bread (about 1 pound), cut into 1 1/4-inch slices",1 lb,pound,)
415,"4 to 6 tablespoons unsalted butter, plus more as needed",4 tbsp.,tablespoon,unsalted butter
416,1/4 cup granulated sugar,0.25 cup,cup,granulated sugar
417,1/2 teaspoon ground cinnamon,0.5 tsp.,teaspoon,ground cinnamon
418,Maple syrup,,, Maple syrup
419,Cherry or other jam,,, Cherry or other jam
420,Whipped mascarpone or crème fraîche,,, Whipped mascarpone or crème fraîche
421,Berries,,, Berries
422,Sliced bananas,,, Sliced bananas
423,Chopped pineapple chunks,,, Chopped pineapple chunks
424,Mini chocolate chips,,, Mini chocolate chips
425,"4 slices of bread, such as sourdough, rye, pumpernickel or rustic country bread",4 ,unit,slices of bread
426,"2 cups (8 ounces) drained sauerkraut, coarsely chopped",2 cup,cup,( 8 ounces ) drained sauerkraut
427,16 slices (about 1/3 cup) pickled jalapeños,16 cup,cup,) pickled jalapeños
428,1 cup (4 ounces) grated sharp Cheddar,1 cup,cup,( 4 ounces ) grated sharp Cheddar
429,2 cups half-and-half,2 cup,cup,half and half
430,"1 teaspoon coarse kosher salt, plus more to taste",1 tsp.,teaspoon,coarse kosher salt
431,"1/2 teaspoon freshly cracked black pepper, plus more to taste",0.5 tsp.,teaspoon,freshly cracked black pepper
432,1/2 teaspoon garlic powder,0.5 tsp.,teaspoon,garlic powder
433,1 cup stone-ground yellow grits,1 cup,cup,stone ground yellow grits
434,1 cup shredded sharp Cheddar,1 cup,cup,shredded sharp Cheddar
435,4 tablespoons unsalted butter,4 tbsp.,tablespoon,unsalted butter
436,"1 12-inch round of pizza dough, stretched (see recipe)",13 ,unit,inch round of pizza dough
437,4 teaspoons heavy cream,4 tsp.,teaspoon,heavy cream
438,2 ounces fresh mozzarella,2 oz,ounce,fresh mozzarella
439,1 1/2 ounces fresh taleggio,1.5 oz,ounce,fresh taleggio
440,Ground black pepper,,, Ground black pepper
441,"1 ounce Parmesan, finely grated",1 oz,ounce,Parmesan
442,Kosher salt and black pepper,,, Kosher salt and black pepper
443,1 cup orzo,1 cup,cup,orzo
444,1 tablespoon olive oil,1 tbsp.,tablespoon,olive oil
445,2 teaspoons minced garlic (about 2 cloves),2 tsp.,teaspoon,minced garlic ( about 2 cloves )
446,1/4 teaspoon red-pepper flakes,0.25 tsp.,teaspoon,red pepper flakes
447,5 ounces fresh baby spinach (about 7 cups),5 oz,ounce,fresh baby spinach ( about 7 cups )
448,1 (24- to 25-ounce) jar marinara sauce,,,24.0 25 ounce ) jar marinara sauce
449,"1/2 cup chopped fresh basil leaves, plus torn or sliced basil for serving",0.5 cup,cup,chopped fresh basil leaves
450,1 cup shredded low-moisture mozzarella cheese (about 4 ounces),1 cup,cup,shredded low moisture mozzarella cheese ( about 4 ounces )
451,1/3 cup grated Parmesan cheese,0.333333 cup,cup,grated Parmesan cheese
452,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
453,"3/4 pound bulk hot or mild Italian sausage (pork, chicken or turkey)",0.75 lb,pound,bulk hot or mild Italian sausage ( pork
454,"4 garlic cloves, thinly sliced",,, 4 garlic cloves
455,1 teaspoon dried oregano,1 tsp.,teaspoon,dried oregano
456,"1/2 teaspoon fennel seeds, coarsely crushed",0.5 tsp.,teaspoon,fennel seeds
457,"Pinch of red-pepper flakes, plus more for serving (optional)",,, Pinch of red pepper flakes
458,1 (28-ounce) can whole peeled tomatoes with their juices,28 oz,ounce,can whole peeled tomatoes with their juices
459,1 (14-ounce) can crushed or strained tomatoes,14 oz,ounce,can crushed or strained tomatoes
460,2 bay leaves,2 ,unit,bay leaves
461,Kosher salt,,, Kosher salt
462,"12 ounces dried pasta, such as small shells, farfalle or other shaped pasta",12 oz,ounce,dried pasta
463,"8 ounces fresh mozzarella, torn into bite-size pieces",8 oz,ounce,fresh mozzarella
464,6 ounces whole-milk ricotta (about 3/4 cup),6 oz,ounce,whole milk ricotta ( about 3/4 cup )
465,1/3 cup grated Parmesan,0.333333 cup,cup,grated Parmesan
466,1/4 cup basil leaves,0.25 cup,cup,basil leaves
467,"Black pepper, for serving",,, Black pepper
468,1 3/4 cups plus 2 tablespoons/240 grams all-purpose flour,1.75 cup,cup,plus 2 tablespoons/240 grams all purpose flour
469,3/4 cup/180 milliliters lukewarm water,0.75 ,unit,cup/180 milliliters lukewarm water
470,1 tablespoon olive oil,1 tbsp.,tablespoon,olive oil
471,3/4 teaspoon kosher salt,0.75 tsp.,teaspoon,kosher salt
472,1/2 teaspoon instant or active dry yeast,0.5 tsp.,teaspoon,instant or active dry yeast
473,1 1/2 tablespoons olive oil,1.5 tbsp.,tablespoon,olive oil
474,"6 ounces mozzarella, grated (about 1 1/4 loosely packed cups)",6 oz,ounce,mozzarella
475,1/2 cup/120 grams tomato sauce or pizza sauce,0.5 ,unit,cup/120 grams tomato sauce or pizza sauce
476,"Freshly grated hard cheese, such as Parmesan or pecorino, for garnish (optional)",,, Freshly grated hard cheese
477,"Fresh herbs, such as basil, marjoram or oregano, for garnish (optional)",,, Fresh herbs
478,1/4 cup extra-virgin olive oil,0.25 cup,cup,extra virgin olive oil
479,"3 fat garlic cloves, thinly sliced",,, 3 fat garlic cloves
480,3 tablespoons tomato paste,3 tbsp.,tablespoon,tomato paste
481,"2 (15-ounce) cans white beans (such as cannellini or Great Northern) or chickpeas, drained and rinsed",,, 2 (15 ounce) cans white beans (such as cannellini or Great Northern) or chickpeas
482,1/2 cup boiling water,0.5 cup,cup,boiling water
483,Kosher salt and black pepper,,, Kosher salt and black pepper
484,"1/3 pound mozzarella, coarsely grated (about 1 1/3 cups)",0.333333 lb,pound,mozzarella
485,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
486,"5 garlic cloves, peeled and sliced",,, 5 garlic cloves
487,1/4 cup tomato paste,0.25 cup,cup,tomato paste
488,1 1/2 teaspoons smoked paprika,1.5 tsp.,teaspoon,smoked paprika
489,1/4 teaspoon red-pepper flakes,0.25 tsp.,teaspoon,red pepper flakes
490,1 teaspoon ground cumin,1 tsp.,teaspoon,ground cumin
491,"2 (14-ounce) cans black beans, drained and rinsed",,, 2 (14 ounce) cans black beans
492,1/2 cup boiling water,0.5 cup,cup,boiling water
493,Kosher salt and black pepper,,, Kosher salt and black pepper
494,1 1/2 cups grated Cheddar or Manchego cheese (from about a 6-ounce block),1.5 cup,cup,grated Cheddar or Manchego cheese ( from about a 6 ounce block )
495,"1 pound boneless, skinless chicken breast, cut across the grain in 1/4-inch thick slices",1 lb,pound,boneless
496,"1 tablespoon egg white, lightly beaten",1 tbsp.,tablespoon,egg white
497,2 teaspoons cornstarch,2 tsp.,teaspoon,cornstarch
498,1 1/2 teaspoons plus 1 tablespoon rice wine or dry sherry,1.5 tsp.,teaspoon,plus 1 tablespoon rice wine or dry sherry
499,1/2 teaspoon sugar,0.5 tsp.,teaspoon,sugar
500,2 tablespoons hoisin sauce,2 tbsp.,tablespoon,hoisin sauce
501,1 teaspoon low sodium soy sauce,1 tsp.,teaspoon,low sodium soy sauce
502,"2 tablespoons peanut oil, rice bran oil or canola oil",2 tbsp.,tablespoon,peanut oil
503,1 tablespoon minced ginger,1 tbsp.,tablespoon,minced ginger
504,"2 fat garlic cloves, minced",,, 2 fat garlic cloves
505,"1 pound green peppers, with at least one of them a hot pepper such as an Anaheim",1 lb,pound,green peppers
506,1/4 cup cashew pieces,0.25 cup,cup,cashew pieces
507,2 tablespoons granulated sugar,2 tbsp.,tablespoon,granulated sugar
508,"1 garlic clove, minced",,, 1 garlic clove
509,"1 bird’s-eye chile or other small hot chile, minced with seeds",1 ,unit,small hot chile
510,1/4 cup fresh lime juice (from 2 limes),0.25 cup,cup,fresh lime juice ( from 2 limes )
511,3 tablespoons fish sauce,3 tbsp.,tablespoon,fish sauce
512,"3 loosely packed cups chicken meat (12 ounces, pulled from store-bought rotisserie chicken or roast chicken)",3 cup,cup,chicken meat ( 12 ounces
513,2 cups thinly sliced red or green cabbage,2 cup,cup,thinly sliced red or green cabbage
514,"1 small English cucumber, thinly sliced (about 1 1/2 cups)",1 ,unit,small English cucumber
515,"1 medium bell pepper (any color), thinly sliced",1 ,unit,medium bell pepper ( any color )
516,"1 1/2 cups peppery leafy greens, such as watercress with tender stems, arugula or mizuna",1.5 cup,cup,peppery leafy greens
517,1 loosely packed cup Thai or sweet basil leaves,1 cup,cup,Thai or sweet basil leaves
518,1 loosely packed cup mint leaves,1 cup,cup,mint leaves
519,"1/2 cup crispy fried shallots or onions, store-bought or homemade",0.5 cup,cup,crispy fried shallots or onions
520,1 whole clove,,, 1 whole clove
521,"1/2 onion, sliced root to stem so it stays intact, peeled",0.5 ,unit,onion
522,"1 pound dried chickpeas, soaked overnight and drained",1 lb,pound,dried chickpeas
523,"1 sprig rosemary, plus 1 teaspoon finely chopped leaves",1 ,unit,sprig rosemary
524,"3 garlic cloves, minced",,, 3 garlic cloves
525,2 fresh bay leaves or 1 dried,2 ,unit,fresh bay leaves or 1 dried
526,1/3 cup extra virgin olive oil,0.333333 cup,cup,extra virgin olive oil
527,"1 1/2 tablespoons kosher salt, more to taste",1.5 tbsp.,tablespoon,kosher salt
528,"1 small Parmesan rind, plus 1/2 cup freshly grated Parmesan",1 ,unit,small Parmesan rind
529,"1 cup diced tomatoes, canned or fresh",1 cup,cup,diced tomatoes
530,"2 medium carrots, sliced into 1/4-inch rounds",2 ,unit,medium carrots
531,"2 celery stalks, sliced 1/4-inch thick",2 ,unit,celery stalks
532,Zest of 1 lemon,,, Zest of 1 lemon
533,1/4 teaspoon black pepper,0.25 tsp.,teaspoon,black pepper
534,"8 ounces firm tofu, cut into 1/4-inch slices",8 oz,ounce,firm tofu
535,"6 ounces spinach, watercress or baby bok choy, finely chopped (3 cups)",6 oz,ounce,spinach
536,"3 ounces garlic chives or scallions, thinly sliced (1 cup)",3 oz,ounce,garlic chives or scallions
537,1 teaspoon kosher salt,1 tsp.,teaspoon,kosher salt
538,"2 celery stalks, finely chopped (1/2 cup)",2 ,unit,celery stalks
539,"1 tablespoon soy sauce, plus more for serving",1 tbsp.,tablespoon,soy sauce
540,"1 tablespoon chile crisp, plus more for serving",1 tbsp.,tablespoon,chile crisp
541,35 homemade dumpling wrappers or store-bought round wrappers,35 ,unit,homemade dumpling wrappers or store bought round wrappers
542,"Grapeseed or other neutral oil, for frying",,, Grapeseed or other neutral oil
543,"Chinese black vinegar or rice vinegar and sesame oil, for serving",,, Chinese black vinegar or rice vinegar and sesame oil
544,14 ounces dried udon noodles,14 oz,ounce,dried udon noodles
545,1/4 cup chile oil with crunchy garlic,0.25 cup,cup,chile oil with crunchy garlic
546,2 tablespoons pure sesame oil,2 tbsp.,tablespoon,pure sesame oil
547,"2 teaspoons Sichuan chile oil, or to taste",2 tsp.,teaspoon,Sichuan chile oil
548,2 teaspoons soy sauce,2 tsp.,teaspoon,soy sauce
549,"1/2 cup finely sliced garlic chives or scallions, plus more for garnish",0.5 cup,cup,finely sliced garlic chives or scallions
550,"2 tablespoons store-bought fried shallots, crumbled by hand (optional)",2 tbsp.,tablespoon,store bought fried shallots
551,"1/2 cup finely chopped cilantro (see Note), plus a few sprigs for garnish",0.5 cup,cup,finely chopped cilantro ( see Note )
552,6 eggs,6 ,unit,eggs
553,Kosher salt,,, Kosher salt
554,1/2 teaspoon sesame oil,0.5 tsp.,teaspoon,sesame oil
555,1 tablespoon Shaoxing rice wine or dry sherry,1 tbsp.,tablespoon,Shaoxing rice wine or dry sherry
556,1 teaspoon cornstarch,1 tsp.,teaspoon,cornstarch
557,1 teaspoon sugar,1 tsp.,teaspoon,sugar
558,2 tablespoons ketchup,2 tbsp.,tablespoon,ketchup
559,"1 pound beefsteak tomatoes in season, or 1 14.5-ounce can of diced tomatoes in juice",1 lb,pound,beefsteak tomatoes in season
560,4 tablespoons vegetable oil,4 tbsp.,tablespoon,vegetable oil
561,"3 scallions, sliced",3 ,unit,scallions
562,1 teaspoon minced ginger (from about 1/4-inch nub),1 tsp.,teaspoon,minced ginger ( from about 1/4 inch nub )
563,"Steamed rice, for serving",,, Steamed rice
564,2 cups minus 2 tablespoons cake flour (8 1/2 ounces),2 cup,cup,minus 2 tablespoons cake flour ( 8 1/2 ounces )
565,1 2/3 cups bread flour (8 1/2 ounces),1.66667 cup,cup,bread flour ( 8 1/2 ounces )
566,1 1/4 teaspoons baking soda,1.25 tsp.,teaspoon,baking soda
567,1 1/2 teaspoons baking powder,1.5 tsp.,teaspoon,baking powder
568,1 1/2 teaspoons coarse salt,1.5 tsp.,teaspoon,coarse salt
569,1 1/4 cups unsalted butter (2 1/2 sticks),1.25 cup,cup,unsalted butter ( 2 1/2 sticks )
